FECHA,TMAX,TMIN,NOMBRE
27042021,22.7,10.5,SAN FERNANDO AERO
27042021,27.7,6.8,SAN JUAN AERO
27042021,22.5,14,SAN JULIAN AERO
27042021,24.5,11.5,SAN LUIS AERO
27042021,25.5,9.5,SAN MARTIN (MZA)
27042021,24.5,8.6,SAN RAFAEL AERO
27042021,21.5,12.2,SANTA CRUZ AERO
27042021,25.5,8.4,SANTA ROSA AERO
27042021,24.1,5.1,SANTA ROSA DE CONLARA AERO
27042021,25.3,8.4,SANTIAGO DEL ESTERO AERO
27042021,23.5,8,SAUCE VIEJO AERO
27042021,24.6,8.5,SUNCHALES AERO
27042021,21.4,3.7,TANDIL AERO
27042021,25,13,TARTAGAL AERO
27042021,26.5,9.5,TERMAS DE RIO HONDO AERO
27042021,26.5,8,TINOGASTA
27042021,26.2,6.1,TRELEW AERO
27042021,25.8,8.6,TRENQUE LAUQUEN
27042021,23.1,6.1,TRES ARROYOS
27042021,25.4,12.8,TUCUMAN AERO
27042021,7,5,USHUAIA AERO
27042021,23,0.9,USPALLATA
27042021,24,6.9,VENADO TUERTO AERO
27042021,25.4,9.9,VICTORICA
27042021,25.5,8.7,VIEDMA AERO
27042021,24.4,5,VILLA DE MARIA DEL RIO SECO
27042021,23.5,10.3,VILLA DOLORES AERO
27042021,21,10.7,VILLA GESELL AERO
27042021,26.5,7.3,VILLA REYNOLDS AERO
26042021,19.5,12.4,AEROPARQUE AERO
26042021,19.6,7.6,AZUL AERO
26042021,20.7,5.1,BAHIA BLANCA AERO
26042021,18.8,-2.2,BARILOCHE AERO
26042021,-13.5,-19,BASE BELGRANO II
26042021,2.6,-0.5,BASE CARLINI (EX JUBANY)
26042021,4.5,-0.4,BASE ESPERANZA
26042021,2.7,-5.2,BASE MARAMBIO
26042021,4.7,0.4,BASE ORCADAS
26042021,4.3,-5.5,BASE SAN MARTIN
26042021,18.8,8,BENITO JUAREZ AERO
26042021,20.5,10.9,BERNARDO DE IRIGOYEN AERO
26042021,20.7,7,BOLIVAR AERO
26042021,21.3,11,BUENOS AIRES OBSERVATORIO
26042021,20.3,8.5,CAMPO DE MAYO AERO
26042021,26.8,16.8,CATAMARCA AERO
26042021,22.5,7.5,CERES AERO
26042021,24,11.5,CHAMICAL AERO
26042021,20.5,0.5,CHAPELCO AERO
26042021,26,12.5,CHEPES
26042021,24.5,9,CHILECITO AERO
26042021,23,7.6,CIPOLLETTI
26042021,21,8.6,COMODORO RIVADAVIA AERO
26042021,21.8,9,CONCORDIA AERO
26042021,23.6,4.5,CORDOBA AERO
26042021,24.2,9.6,CORDOBA OBSERVATORIO
26042021,18.7,6.5,CORONEL PRINGLES AERO
26042021,18.3,6.6,CORONEL SUAREZ AERO
26042021,21.5,9.5,CORRIENTES AERO
26042021,20.2,6.5,DOLORES AERO
26042021,18,2.5,EL BOLSON AERO
26042021,18.9,6,EL CALAFATE AERO
26042021,21,8,EL PALOMAR AERO
26042021,22.8,5,EL TREBOL
26042021,22.6,5,ESCUELA DE AVIACION MILITAR AERO
26042021,17.6,-1,ESQUEL AERO
26042021,20.3,6.5,EZEIZA AERO
26042021,22.4,10.9,FORMOSA AERO
26042021,22.5,7.5,GENERAL PICO AERO
26042021,19,9.5,GOBERNADOR GREGORES AERO
26042021,22,8.4,GUALEGUAYCHU AERO
26042021,23,13,IGUAZU AERO
26042021,23,10.2,ITUZAINGO
26042021,24,7.4,JACHAL
26042021,21.5,10.8,JUJUY AERO
26042021,18.7,9.8,JUJUY U N
26042021,22.6,6.9,JUNIN AERO
26042021,20,8.2,LA PLATA AERO
26042021,19.1,0.8,LA QUIACA OBSERVATORIO
26042021,26.5,12.4,LA RIOJA AERO
26042021,23,5.9,LABOULAYE AERO
26042021,21,6,LAS FLORES
26042021,24.5,11.2,LAS LOMITAS
26042021,20.5,3.2,MALARGUE AERO
26042021,20,-1,MAQUINCHAO
26042021,18.5,9.5,MAR DEL PLATA AERO
26042021,23.2,7.1,MARCOS JUAREZ AERO
26042021,21,8,MARIANO MORENO AERO
26042021,23.8,10.3,MENDOZA AERO
26042021,,10.7,MENDOZA OBSERVATORIO
26042021,21.6,9,MERCEDES AERO (CTES)
26042021,21,9.3,MERLO AERO
26042021,19.4,12,METAN
26042021,23.5,10.5,MONTE CASEROS AERO
26042021,20.5,8.8,MORON AERO
26042021,21.7,6.4,NEUQUEN AERO
26042021,22.3,7.3,NUEVE DE JULIO
26042021,22.5,11,OBERA
26042021,19.1,8.1,OLAVARRIA AERO
26042021,23.4,15.5,ORAN AERO
26042021,22.1,10.2,PARANA AERO
26042021,20,4.8,PASO DE INDIOS
26042021,22.4,11,PASO DE LOS LIBRES AERO
26042021,20.8,4.5,PEHUAJO AERO
26042021,18,8.3,PERITO MORENO AERO
26042021,17.5,6.3,PIGUE AERO
26042021,23,8.2,PILAR OBSERVATORIO
26042021,22.5,12.4,POSADAS AERO
26042021,22.1,7,PRESIDENCIA ROQUE SAENZ PEÑA AERO
26042021,18.8,6.2,PUERTO DESEADO AERO
26042021,22.2,7.8,PUERTO MADRYN AERO
26042021,20,10,PUNTA INDIO B.A.
26042021,22.3,8,RAFAELA AERO
26042021,23.1,8.9,RECONQUISTA AERO
26042021,22.2,8.1,RESISTENCIA AERO
26042021,21.6,6.2,RIO COLORADO
26042021,23.6,9,RIO CUARTO AERO
26042021,21.8,3,RIO GALLEGOS AERO
26042021,10,2.5,RIO GRANDE B.A.
26042021,27,13,RIVADAVIA
26042021,22.1,7.1,ROSARIO AERO
26042021,17.4,12,SALTA AERO
26042021,23,3.5,SAN ANTONIO OESTE AERO
26042021,24,4.5,SAN CARLOS (MZA)
26042021,21.7,10.4,SAN FERNANDO AERO
26042021,25.7,8.8,SAN JUAN AERO
26042021,19.3,11.7,SAN JULIAN AERO
26042021,23.4,11.2,SAN LUIS AERO
26042021,24.7,10.2,SAN MARTIN (MZA)
26042021,23.3,7.8,SAN RAFAEL AERO
26042021,19.5,12,SANTA CRUZ AERO
26042021,21.5,5.2,SANTA ROSA AERO
26042021,23.6,6.8,SANTA ROSA DE CONLARA AERO
26042021,25,13.4,SANTIAGO DEL ESTERO AERO
26042021,22.3,7.4,SAUCE VIEJO AERO
26042021,23,6.5,SUNCHALES AERO
